ts_code_x,trade_date,open_x,high_x,low_x,close_x,pre_close_x,change_x,pct_chg_x,vol_x,amount_x,ts_code_y,close_y,open_y,high_y,low_y,pre_close_y,change_y,pct_chg_y,vol_y,amount_y,ma,data_dif,data_dea,data_macd,kdj_k,kdj_d,kdj_j,bias,rsi,roc,psy,ave_change
000002.SZ,20180423,29.88,30.29,29.79,29.91,30.15,-0.24,-0.8,201714.25,605310.89,000001.SH,3068.012,3063.4427,3085.0573,3045.9369,3071.5425,-3.5305,-0.1149,131686340.0,157854795.1,31.04916666666664,-0.7473975378592144,-0.5718982446936892,-0.3509985863310503,57.23133610635599,68.07075054434084,35.55250723038628,-3.668912209130596,20.537124802527618,-9.662320294215972,33.33333333333333,-0.47000000000000003
000002.SZ,20180424,29.85,31.1,29.8,30.93,29.91,1.02,3.41,469832.12,1447945.429,000001.SH,3128.9271,3069.7455,3136.0395,3069.7455,3068.012,60.9151,1.9855,162274806.0,195545006.1,30.893333333333306,-0.6843019409743967,-0.5943789839498308,-0.17984591404913175,100.71130169647478,78.95093426171881,144.2320365659867,0.11868795856720031,35.63748079877112,-2.230843840931139,41.66666666666667,-0.8433333333333334
000002.SZ,20180425,30.65,30.65,29.96,30.12,30.93,-0.81,-2.62,397684.18,1199524.613,000001.SH,3117.9739,3112.3978,3122.9082,3107.0008,3128.9271,-10.9532,-0.3501,127311053.0,161298141.7,30.768333333333306,-0.6916851406689233,-0.6138402152936493,-0.15568985075054798,92.7116440533577,83.53783752559845,111.05925710887621,-2.1071447917230017,37.78501628664494,-6.839309428950859,41.66666666666667,-0.8133333333333335
000002.SZ,20180426,30.3,30.3,28.26,28.5,30.12,-1.62,-5.38,812262.55,2348260.6459999997,000001.SH,3075.0301,3119.4962,3121.9334,3067.9286,3117.9739,-42.9438,-1.3773,133972736.0,163783774.6,30.46166666666664,-0.8188180163194012,-0.6548357754987997,-0.32796448164120307,65.74864940174584,77.60810815098091,42.02973190327569,-6.439787711331103,24.444444444444432,-14.421052631578945,33.33333333333333,-0.38999999999999996
000002.SZ,20180427,28.66,28.75,27.42,28.4,28.5,-0.1,-0.35,381958.29,1071392.412,000001.SH,3082.2316,3082.4148,3088.0347,3049.9139,3075.0301,7.2015,0.2342,131225643.0,179520260.0,30.110833333333304,-0.917069494207162,-0.7072825192404723,-0.4195739499333795,68.39383644326911,74.53668424841031,56.10814083298672,-5.681786732349841,19.359534206695763,-12.147887323943673,25.0,-0.4966666666666666
000002.SZ,20180502,28.4,28.66,27.63,27.68,28.4,-0.72,-2.54,397170.81,1111292.763,000001.SH,3081.1773,3087.4086,3097.6039,3064.763,3082.2316,-1.0543,-0.0342,134184566.0,168246153.0,29.763333333333303,-1.0410321108519085,-0.7740324375627596,-0.5339993465782977,52.58513827400731,67.21950225694265,23.316410308136653,-6.999664016127133,19.472913616398223,-12.897398843930636,25.0,-0.10000000000000002
000002.SZ,20180503,27.65,27.66,26.56,27.33,27.68,-0.35,-1.26,542419.86,1466857.435,000001.SH,3100.8586,3074.5165,3105.6598,3056.1573,3081.1773,19.6813,0.6388,139985620.0,173444959.1,29.436666666666635,-1.1542104331707037,-0.8500680366843486,-0.6082847929727102,58.3900921826715,64.27636556551893,46.61754541697664,-7.156607405729723,20.212765957446788,-9.879253567508243,25.0,0.45333333333333337
000002.SZ,20180504,27.26,27.56,26.81,26.91,27.33,-0.42,-1.54,425383.6,1154814.762,000001.SH,3091.0334,3093.1169,3104.0925,3086.7845,3100.8586,-9.8252,-0.3169,118711265.0,148436363.4,29.176666666666637,-1.263233786176368,-0.9327011865827526,-0.661065199187231,50.59339478844771,59.71537530649519,32.34943375235275,-7.768764994858812,23.01038062283735,-11.185432924563365,25.0,0.43
000002.SZ,20180507,27.01,27.51,26.72,27.38,26.91,0.47,1.75,408453.67,1110387.754,000001.SH,3136.6448,3094.8989,3136.8363,3091.6579,3091.0334,45.6114,1.4756,138948186.0,178243870.0,28.96499999999997,-1.2967622389736597,-1.005513397060934,-0.5824976838254514,62.50085968352647,60.64387009883895,66.21483885290151,-5.472121525979541,29.315960912052084,-9.715120525931336,33.33333333333333,0.23
000002.SZ,20180508,27.4,28.86,27.33,28.69,27.38,1.31,4.78,655817.53,1857899.321,000001.SH,3161.4976,3135.2957,3169.7014,3134.0621,3136.6448,24.8528,0.7923,146927061.0,189011647.4,28.852499999999967,-1.2037516280430687,-1.045161043257361,-0.3171811695714153,116.40408189428065,79.23060736398618,190.7510309548696,-0.5632094272592187,40.79126875852662,-5.3677239456256505,33.33333333333333,-0.25
000002.SZ,20180509,28.5,28.5,28.0,28.2,28.69,-0.49,-1.71,409030.79,1152922.298,000001.SH,3159.1502,3160.1382,3165.3733,3145.6574,3161.4976,-2.3474,-0.0742,122637268.0,153456426.2,28.683333333333298,-1.1562504185898312,-1.0673789183238551,-0.17774300053195224,135.14658091197643,97.86926521331627,209.70121230929672,-1.6850668216152214,36.69724770642201,-6.914893617021275,25.0,-0.08666666666666667
000002.SZ,20180510,28.32,28.53,27.7,28.07,28.2,-0.13,-0.46,429639.57,1204133.432,000001.SH,3174.4127,3169.0498,3176.1376,3155.5331,3159.1502,15.2625,0.4831,133000756.0,165440363.9,28.509999999999966,-1.1162280987208888,-1.0771487544032619,-0.07815868863525388,143.08017674833505,112.93956905832253,203.3613921283601,-1.543318133987956,36.45833333333334,-6.555040969006056,25.0,-0.10666666666666667
000002.SZ,20180511,28.1,28.19,27.73,27.94,28.07,-0.13,-0.46,318303.73,889939.605,000001.SH,3163.2632,3179.7967,3180.7564,3162.2121,3174.4127,-11.1495,-0.3512,130659749.0,167364290.4,28.3458333333333,-1.0825214025418468,-1.078223284030979,-0.008596237021735842,143.80783713046893,123.228991749038,184.9655278933308,-1.4317212994266013,36.9881109643329,-10.701503221188254,25.0,-0.23666666666666666
000002.SZ,20180514,28.08,28.29,27.87,27.94,27.94,0.0,0.0,350838.54,984200.058,000001.SH,3174.032,3167.0418,3183.8159,3163.4759999999997,3163.2632,10.7688,0.3404,129327353.0,172410691.1,28.096666666666632,-1.0437765961048022,-1.0713339464457436,0.055114700681882844,144.2929440518915,130.2503091833225,172.37821378902953,-0.5575987661643053,27.175572519083985,-7.802433786685754,16.666666666666664,-0.3833333333333333
000002.SZ,20180515,28.11,28.15,27.34,27.75,27.94,-0.19,-0.68,405069.26,1120666.813,000001.SH,3192.1183,3180.4245,3192.8069,3164.5181,3174.032,18.0863,0.5698,124549051.0,162990790.0,27.89916666666663,-1.0166827836985135,-1.0604037138962976,0.08744186039556823,137.94968199950654,132.8167667887172,148.21551242108524,-0.534663520415654,30.016863406408095,-2.7027027027027026,16.666666666666664,-0.19999999999999998
000002.SZ,20180516,27.55,27.75,27.21,27.23,27.75,-0.52,-1.87,373238.06,1020836.429,000001.SH,3169.5652,3180.2259,3191.9481,3166.8113,3192.1183,-22.5531,-0.7065,130524968.0,174590979.8,27.793333333333297,-1.0253507906884778,-1.0533931292547336,0.05608467713251164,113.48544200810984,126.37299186184806,87.71034230063341,-2.0268649556247222,36.85300207039339,-4.296731546088866,16.666666666666664,-0.053333333333333344
000002.SZ,20180517,27.19,27.22,26.77,26.79,27.23,-0.44,-1.62,445623.87,1199275.7,000001.SH,3154.2825,3170.0064,3172.7664,3148.6213,3169.5652,-15.2827,-0.4822,113995567.0,150598842.2,27.659166666666636,-1.0555567700602353,-1.053825857415834,-0.003461825288802789,80.32362800540658,111.0232039097009,18.92447619681792,-3.1424181253953325,34.429400386847206,-3.3221351250466613,16.666666666666664,-0.023333333333333334
000002.SZ,20180518,26.7,27.15,26.53,27.15,26.79,0.36,1.34,407222.27,1092945.215,000001.SH,3193.3034,3151.0818,3193.4531,3144.776,3154.2825,39.0209,1.2371,136516918.0,168038057.5,27.614999999999966,-1.0384753377154787,-1.0507557534757628,0.024560831520568094,86.88241867027106,102.97627549655762,54.69470501769794,-1.6838674633350297,44.490644490644485,-0.6629834254143636,25.0,-0.11666666666666665
000002.SZ,20180521,27.23,27.31,26.81,27.07,27.15,-0.08,-0.29,432446.76,1167666.221,000001.SH,3213.8404,3206.1756,3219.7398,3203.3362,3193.3034,20.537,0.6431,164459413.0,202663464.5,27.5933333333333,-1.019639738724969,-1.044532550525604,0.049785623601270146,86.95387051136358,97.63547383482627,65.5906638644382,-1.8965933800433754,47.136563876652005,0.5910602142593282,25.0,-0.13999999999999999
000002.SZ,20180522,27.05,27.05,26.58,26.72,27.07,-0.35,-1.29,415469.03,1111277.324,000001.SH,3214.3497,3211.2470000000003,3214.5888,3192.2277,3213.8404,0.5093,0.0158,144292684.0,185721667.8,27.57749999999996,-1.0211829048865404,-1.0398626213977913,0.037359433022501776,70.14873418706276,88.47322728557178,33.49974799004471,-3.109418910343446,47.87472035794182,-2.4700598802395217,25.0,-0.11
000002.SZ,20180523,26.72,27.17,26.56,26.8,26.72,0.08,0.3,433170.62,1164157.877,000001.SH,3168.9642,3205.437,3205.437,3168.9642,3214.3497,-45.3855,-1.412,157807648.0,199358101.0,27.52916666666663,-1.004372759800738,-1.0327646490783806,0.05678377855528538,64.07351509906746,80.33998989007034,31.540565517061708,-2.64870591796566,42.89215686274513,-7.052238805970151,25.0,-0.10000000000000002
000002.SZ,20180524,26.8,26.85,26.52,26.65,26.8,-0.15,-0.56,241610.93,643575.797,000001.SH,3154.6506,3167.9391,3173.5309,3152.0692,3168.9642,-14.3136,-0.4517,124085800.0,160658185.5,27.359166666666628,-0.9917223867585747,-1.0245561966144194,0.06566761971168944,55.8469898640246,72.1756565480551,23.18965649596359,-2.592062380067486,15.068493150684947,-5.81613508442777,16.666666666666664,-0.35000000000000003
