ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20160704,2988.604,2924.293,2992.498,2922.52,2932.476,56.128,1.914,222017132.0,253150365.202
000001.SH,20160705,3006.392,2991.752,3010.275,2990.642,2988.604,17.788,0.5952,235204450.0,270418011.629
000001.SH,20160706,3017.292,2998.521,3017.652,2984.828,3006.392,10.9,0.3626,212370920.0,246497840.951
000001.SH,20160707,3016.847,3009.353,3024.109,2994.643,3017.292,-0.445,-0.0147,222681667.0,270197134.238
000001.SH,20160708,2988.094,3000.326,3001.551,2983.881,3016.847,-28.753,-0.9531,168986859.0,209672668.129
000001.SH,20160711,2994.917,2993.749,3022.944,2990.907,2988.094,6.823,0.2283,224338224.0,271916499.904
000001.SH,20160712,3049.381,2992.52,3049.681,2984.421,2994.917,54.464,1.8185,259486295.0,288656744.057
000001.SH,20160713,3060.689,3049.513,3069.047,3048.199,3049.381,11.308,0.3708,253659384.0,279350871.891
000001.SH,20160714,3054.018,3054.975,3057.046,3036.523,3060.689,-6.671,-0.218,180194804.0,208939031.31
000001.SH,20160715,3054.296,3056.682,3062.683,3044.538,3054.018,0.278,0.0091,172866398.0,202840549.58
000001.SH,20160718,3043.564,3047.637,3058.321,3031.639,3054.296,-10.732,-0.3514,177496562.0,206667709.265
000001.SH,20160719,3036.598,3040.226,3043.6,3014.289,3043.564,-6.966,-0.2289,155361466.0,187206723.214
000001.SH,20160720,3027.9,3034.714,3042.997,3022.631,3036.598,-8.698,-0.2864,138242815.0,171472917.221
000001.SH,20160721,3039.009,3027.604,3053.334,3027.368,3027.9,11.109,0.3669,163767370.0,200278455.546
000001.SH,20160722,3012.816,3038.118,3039.27,3007.457,3039.009,-26.193,-0.8619,162010181.0,197517350.36
000001.SH,20160725,3015.828,3008.094,3027.123,3003.292,3012.816,3.012,0.1,144206582.0,175422000.819
000001.SH,20160726,3050.166,3014.04,3050.615,3013.802,3015.828,34.338,1.1386,156694506.0,185474467.705
000001.SH,20160727,2991.999,3050.368,3057.424,2939.227,3050.166,-58.167,-1.907,280160915.0,316811388.907
000001.SH,20160728,2994.323,2980.501,3003.363,2968.182,2991.999,2.324,0.0777,190564950.0,217626998.763
000001.SH,20160729,2979.339,2992.536,3000.055,2972.917,2994.323,-14.984,-0.5004,150101534.0,170198566.552
000001.SH,20160801,2953.385,2971.949,2972.875,2931.963,2979.339,-25.954,-0.8711,147407763.0,162372674.323
000001.SH,20160802,2971.279,2950.08,2971.279,2946.637,2953.385,17.894,0.6059,115468900.0,129266872.711
000001.SH,20160803,2978.461,2963.215,2981.156,2956.786,2971.279,7.182,0.2417,141141332.0,159088262.525
000001.SH,20160804,2982.426,2976.41,2982.86,2958.933,2978.461,3.965,0.1331,133933301.0,153307963.507
000001.SH,20160805,2976.696,2978.778,2991.677,2971.564,2982.426,-5.73,-0.1921,141857101.0,161795980.405
000001.SH,20160808,3004.277,2972.625,3004.718,2959.048,2976.696,27.581,0.9266,155729833.0,172089654.259
000001.SH,20160809,3025.681,3001.306,3025.911,2998.677,3004.277,21.404,0.7125,169995446.0,187716865.344
000001.SH,20160810,3018.746,3023.472,3033.196,3017.09,3025.681,-6.935,-0.2292,164675165.0,184525184.723
000001.SH,20160811,3002.638,3013.678,3038.048,3001.168,3018.746,-16.108,-0.5336,161879481.0,179861525.628
000001.SH,20160812,3050.667,3000.273,3051.054,2999.039,3002.638,48.029,1.5996,168173657.0,179304885.162
000001.SH,20160815,3125.195,3056.484,3137.476,3053.871,3050.667,74.528,2.443,297616506.0,327991129.268
000001.SH,20160816,3110.037,3130.533,3140.441,3102.065,3125.195,-15.158,-0.485,278328934.0,308544861.178
000001.SH,20160817,3109.555,3106.991,3114.255,3090.281,3110.037,-0.482,-0.0155,213839637.0,243405250.612
000001.SH,20160818,3104.114,3107.753,3125.581,3093.317,3109.555,-5.441,-0.175,229359081.0,256969677.017
000001.SH,20160819,3108.102,3100.391,3113.344,3082.771,3104.114,3.988,0.1285,194347453.0,212050971.111
000001.SH,20160822,3084.805,3107.381,3112.74,3083.593,3108.102,-23.297,-0.7496,185387927.0,207638874.518
000001.SH,20160823,3089.706,3081.572,3101.11,3073.529,3084.805,4.901,0.1589,161368965.0,179183487.675
000001.SH,20160824,3085.88,3092.02,3097.148,3079.548,3089.706,-3.826,-0.1238,145707440.0,168362528.488
000001.SH,20160825,3068.329,3073.444,3073.444,3041.505,3085.88,-17.551,-0.5688,174032980.0,200859751.351
000001.SH,20160826,3070.309,3069.85,3087.652,3063.894,3068.329,1.98,0.0645,149663901.0,176309498.242
000001.SH,20160829,3070.027,3068.46,3074.943,3058.785,3070.309,-0.282,-0.0092,144500007.0,166397346.222
000001.SH,20160830,3074.677,3071.44,3082.988,3065.971,3070.027,4.65,0.1515,140434811.0,163878823.044
000001.SH,20160831,3085.491,3072.916,3087.698,3063.396,3074.677,10.814,0.3517,141368609.0,168986117.678
000001.SH,20160901,3063.305,3083.961,3088.704,3062.876,3085.491,-22.186,-0.719,155191093.0,177093295.28
000001.SH,20160902,3067.352,3057.495,3072.526,3050.492,3063.305,4.047,0.1321,150446920.0,170592139.865
000001.SH,20160905,3072.095,3070.707,3085.485,3065.329,3067.352,4.743,0.1546,144963317.0,161243675.297
000001.SH,20160906,3090.713,3071.055,3095.509,3053.187,3072.095,18.618,0.606,172908524.0,193057729.108
000001.SH,20160907,3091.928,3091.329,3105.678,3087.879,3090.713,1.215,0.0393,186956763.0,207162121.474
000001.SH,20160908,3095.954,3089.953,3096.783,3083.902,3091.928,4.026,0.1302,145883771.0,165944472.734
000001.SH,20160909,3078.855,3095.427,3101.792,3078.218,3095.954,-17.099,-0.5523,160692924.0,182056232.52
000001.SH,20160912,3021.977,3037.507,3040.952,2999.929,3078.855,-56.878,-1.8474,206012086.0,221846569.008
000001.SH,20160913,3023.51,3025.035,3029.721,3008.741,3021.977,1.533,0.0507,135387580.0,152791306.018
000001.SH,20160914,3002.849,3008.904,3017.945,2995.416,3023.51,-20.661,-0.6833,133413401.0,148148969.909
000001.SH,20160919,3026.051,3005.323,3026.651,3005.323,3002.849,23.202,0.7727,119225027.0,133168828.076
000001.SH,20160920,3023.0,3027.172,3027.817,3015.88,3026.051,-3.051,-0.1008,118924117.0,139662303.158
000001.SH,20160921,3025.874,3021.576,3032.45,3017.541,3023.0,2.874,0.0951,115721213.0,134133726.403
000001.SH,20160922,3042.313,3038.422,3054.435,3035.07,3025.874,16.439,0.5433,139309554.0,159031064.132
000001.SH,20160923,3033.896,3044.786,3046.805,3032.802,3042.313,-8.417,-0.2767,125590976.0,147377736.332
000001.SH,20160926,2980.43,3028.243,3028.243,2980.117,3033.896,-53.466,-1.7623,144330286.0,162257246.419
000001.SH,20160927,2998.172,2974.593,2998.233,2969.132,2980.43,17.742,0.5953,121701450.0,133372708.394
