ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ave_change,pred_ave_change,real_trend,pred_trend
601318.SH,20171013,56.91,57.43,56.73,57.08,57.11,-0.03,-0.05,508153.3,2898031.536,0.633333333,0.207143048,1,1
601318.SH,20171016,57.5,58.55,57.09,57.17,57.08,0.09,0.16,749769.23,4336232.571,0.806666667,0.497068164,1,1
601318.SH,20171017,57.41,58.26,57.2,57.94,57.17,0.77,1.35,637815.73,3687434.212,0.36,0.405568477,1,1
601318.SH,20171018,58.06,59.03,57.87,58.98,57.94,1.04,1.8,710379.48,4156056.201,0.3,-0.100829847,1,0
601318.SH,20171019,59.06,59.95,58.8,59.59,58.98,0.61,1.03,741138.91,4412200.243,0.203333333,0.014336851,0,0
601318.SH,20171020,59,59.45,58.64,59.02,59.59,-0.57,-0.96,456881.47,2696601.759,0.353333333,0.282388358,1,1
601318.SH,20171023,59.73,60.18,59.2,59.88,59.02,0.86,1.46,512391.75,3066104.021,0.503333333,-0.04726217,1,0
601318.SH,20171024,59.77,61.06,59.63,60.2,59.88,0.32,0.53,705336.42,4268526.176,1.243333333,0.207887214,1,0
601318.SH,20171025,60.1,60.44,59.71,60.08,60.2,-0.12,-0.2,386456.97,2322425.4,1.326666667,1.070594934,1,1
601318.SH,20171026,60,62.26,59.86,61.39,60.08,1.31,2.18,836840.94,5137430.623,0.99,0.766669757,1,1
601318.SH,20171027,61.5,63.98,61.48,63.93,61.39,2.54,4.14,876860.93,5509478.165,0.063333333,-0.045360845,0,0
601318.SH,20171030,64,65.3,63.13,64.06,63.93,0.13,0.2,1183831.53,7608700.684,0.026666667,-0.040846563,0,0
601318.SH,20171031,63.5,64.5,63.31,64.36,64.06,0.3,0.47,513661.89,3284189.902,0.03,-0.239108548,0,0
601318.SH,20171101,64.47,66.28,63.72,64.12,64.36,-0.24,-0.37,1001119.09,6497719.273,-0.036666667,-0.021488897,0,0
601318.SH,20171102,64.2,64.39,63,64.14,64.12,0.02,0.03,824946.51,5249507.427,0.41,-0.103580534,1,0
601318.SH,20171103,64,64.84,63.48,64.45,64.14,0.31,0.48,681439.78,4374187.708,0.053333333,0.274262923,0,1
601318.SH,20171106,64.69,64.7,62.92,64.01,64.45,-0.44,-0.68,908570.15,5784912.562,0.773333333,0.08955333,1,1
601318.SH,20171107,64.3,66.57,64.3,65.37,64.01,1.36,2.12,1173565.86,7697028.238,1.506666667,0.189611121,1,0
601318.SH,20171108,65.4,66.35,64.32,64.61,65.37,-0.76,-1.16,867820.83,5669830.793,1.846666667,1.513318755,1,1
601318.SH,20171109,64.5,66.39,64.4,66.33,64.61,1.72,2.66,708669.25,4620472.31,1.363333333,0.929951851,1,1
601318.SH,20171110,66,69.95,65.93,69.89,66.33,3.56,5.37,1254060.37,8577347.652,-0.23,0.039899537,0,0
601318.SH,20171113,70.1,70.57,69.48,70.15,69.89,0.26,0.37,752207.17,5267340.967,0.953333333,-0.208118126,1,0
601318.SH,20171114,70.69,71.29,69.77,70.42,70.15,0.27,0.38,801748.28,5652540.362,1.616666667,0.469949353,1,1
601318.SH,20171115,69.98,70.43,68.59,69.2,70.42,-1.22,-1.73,1009459.92,6990987.895,2.17,1.544364113,1,1
601318.SH,20171116,68.8,73.11,68.75,73.01,69.2,3.81,5.51,1163764.46,8269151.22,1.81,0.791542434,1,1
