open,high,low,pre_close,change,pct_chg,vol,amount,close,ave_change,pred_change,real_trend,pred_trend,random_trend
52.3,52.56,51.91,52.32,0.13,0.25,367322.51,1917168.051,52.45,-0.9566666666666667,-0.1730651153296783,-1,0,1
52.35,52.84,52.0,52.45,-0.39,-0.74,410734.11,2149503.758,52.06,-0.5233333333333333,-0.07660417563300706,0,0,0
52.07,52.45,50.51,52.06,-1.33,-2.55,846423.15,4333370.708000001,50.73,0.0566666666666667,-0.04595299863093542,0,0,0
50.2,50.73,49.53,50.73,-1.15,-2.27,828145.63,4147670.9280000003,49.58,0.5433333333333333,0.016281055715432043,0,0,0
49.99,51.0,49.64,49.58,0.91,1.84,791494.96,3992982.202,50.49,0.20333333333333334,0.37821358849158154,0,1,0
50.8,51.56,50.6,50.49,0.41,0.81,680849.53,3482968.11,50.9,0.7566666666666667,0.27247118718805147,1,1,0
50.85,51.29,50.53,50.9,0.31,0.61,340851.06,1735515.8530000001,51.21,0.6066666666666666,-0.04318372442387417,0,0,0
51.47,51.83,50.87,51.21,-0.11,-0.21,374711.48,1922044.261,51.1,1.3666666666666665,0.05723776921854518,1,0,-1
52.4,53.86,51.62,51.1,2.07,4.05,1176428.75,6204026.735,53.17,0.7433333333333333,0.06511029293570725,1,0,-1
53.4,54.28,52.78,53.17,-0.14,-0.26,716152.54,3834637.735,53.03,0.6966666666666667,0.012716600114557684,1,0,1
53.41,55.26,53.32,53.03,2.17,4.09,1009896.78,5503927.188999999,55.2,0.20999999999999996,-0.12577897261471013,0,0,1
55.01,55.83,54.82,55.2,0.2,0.36,564884.35,3124559.298,55.4,0.26666666666666666,-0.4234483724476805,0,-1,0
55.55,56.28,54.95,55.4,-0.28,-0.51,560654.76,3111185.225,55.12,0.6466666666666666,-0.26186366902770253,0,-1,1
54.9,56.22,54.84,55.12,0.71,1.29,743106.0,4147141.4560000002,55.83,0.19333333333333333,-0.18019665614765126,0,0,-1
55.98,57.75,55.98,55.83,0.37,0.66,803295.69,4571588.7530000005,56.2,-0.05666666666666668,-0.031180230010979373,0,0,0
56.1,57.25,55.88,56.2,0.86,1.53,416774.19,2365449.403,57.06,-0.2966666666666667,-0.7593612310632637,0,-1,0
57.0,57.63,56.26,57.06,-0.65,-1.14,470277.18,2668794.0130000003,56.41,-0.25333333333333335,-0.17789130902363323,0,0,1
56.33,56.66,55.55,56.41,-0.38,-0.67,480957.2,2694501.061,56.03,0.2533333333333333,-0.3008646934378072,0,-1,1
56.05,57.04,55.6,56.03,0.14,0.25,571083.47,3213848.068,56.17,-0.09000000000000004,-0.41206139025775473,0,-1,-1
55.51,55.56,54.81,55.67,-0.52,-0.93,484051.38,2668523.944,55.15,-0.08000000000000003,-0.24964347559469682,0,-1,0
55.4,56.6,55.11,55.15,1.14,2.07,563769.9,3153737.5069999998,56.29,-0.4233333333333333,-0.3814390586370632,0,-1,-1
56.05,56.38,55.09,56.29,-0.89,-1.58,424063.1,2354829.57,55.4,-0.47000000000000003,-0.13832614232453855,0,0,0
55.6,55.82,54.83,55.4,-0.49,-0.88,329740.56,1818266.1230000001,54.91,-0.03333333333333336,-0.34981142653176645,0,-1,-1
54.9,55.52,54.83,54.91,0.11,0.2,290322.23,1601029.3190000001,55.02,0.016666666666666646,-0.616369551415356,0,-1,1
55.21,55.98,53.92,55.02,-1.03,-1.87,804098.42,4405694.623,53.99,0.010000000000000009,0.03736577442331013,0,0,-1
54.48,54.87,53.61,53.99,0.82,1.52,555954.0,3018230.917,54.81,-0.47666666666666674,-0.4818583772687531,0,-1,-1
54.8,55.36,54.33,54.81,0.26,0.47,398069.83,2188825.236,55.07,-0.59,-0.6423261455277987,0,-1,0
55.1,55.25,53.9,55.07,-1.05,-1.91,510191.15,2769164.3,54.02,-0.18666666666666665,-0.048944078790183775,0,0,0
54.09,54.2,53.15,54.02,-0.64,-1.18,754259.44,4035496.8239999996,53.38,-0.09999999999999999,0.015582519615853045,0,0,0
53.27,54.48,53.27,53.38,-0.08,-0.15,754002.96,4045828.546,53.3,0.17333333333333334,0.03008169311631058,0,0,0
53.69,54.04,53.11,53.3,0.16,0.3,621506.55,3322570.961,53.46,0.19333333333333333,-0.14296993609331698,0,0,-1
53.44,53.7,53.0,53.46,-0.38,-0.71,587189.13,3132558.755,53.08,0.36000000000000004,-0.08480035263858679,0,0,0
53.16,54.24,53.01,53.08,0.74,1.39,727092.01,3909123.212,53.82,0.1433333333333333,-0.06278146722552316,0,0,-1
53.55,54.35,53.52,53.82,0.22,0.41,549471.82,2965926.9639999997,54.04,-0.1466666666666667,-0.30745421984817534,0,-1,1
54.05,54.73,53.82,54.04,0.12,0.22,657944.94,3572267.811,54.16,-0.14,-0.1622225329024167,0,0,1
53.99,54.33,53.95,54.16,0.09,0.17,427958.45,2317837.253,54.25,-0.03000000000000001,-0.42429088332114007,0,-1,1
54.1,54.24,53.46,54.25,-0.65,-1.2,468984.47,2525092.409,53.6,0.3866666666666667,-0.15301352866930523,0,0,1
53.6,53.97,53.32,53.6,0.14,0.26,397737.46,2134157.815,53.74,0.3933333333333333,-0.40245776712282744,0,-1,1
53.72,54.35,53.43,53.74,0.42,0.78,434172.31,2345094.281,54.16,0.3833333333333333,-0.5669433499517461,0,-1,0
56.1,56.5,54.71,54.16,0.6,1.11,882361.99,4894508.072,54.76,0.7833333333333333,0.12453442272330972,1,0,1
54.86,55.52,53.81,54.76,0.16,0.29,960683.2,5234374.162,54.92,0.7200000000000001,0.21967300162337605,1,0,0
54.9,55.72,54.55,54.92,0.39,0.71,664527.95,3671752.167,55.31,0.62,-0.30356898416104533,0,-1,1
55.2,57.19,55.12,55.31,1.8,3.25,898550.11,5060866.914,57.11,0.27666666666666667,-0.09326825242077105,0,0,-1
56.91,57.43,56.73,57.11,-0.03,-0.05,508153.3,2898031.5360000003,57.08,0.6333333333333333,-0.3880201373509103,0,-1,0
57.5,58.55,57.09,57.08,0.09,0.16,749769.23,4336232.571,57.17,0.8066666666666666,-0.06581002775267808,1,0,-1
57.41,58.26,57.2,57.17,0.77,1.35,637815.73,3687434.212,57.94,0.36000000000000004,-0.35942651897512284,0,-1,1
58.06,59.03,57.87,57.94,1.04,1.8,710379.48,4156056.2010000004,58.98,0.3,-0.1134520074390675,0,0,-1
59.06,59.95,58.8,58.98,0.61,1.03,741138.91,4412200.243,59.59,0.20333333333333337,0.0018308159776275514,0,0,-1
59.0,59.45,58.64,59.59,-0.57,-0.96,456881.47,2696601.7589999996,59.02,0.35333333333333333,-0.055537741474186934,0,0,-1
59.73,60.18,59.2,59.02,0.86,1.46,512391.75,3066104.021,59.88,0.5033333333333333,-0.33079990339455984,0,-1,-1
59.77,61.06,59.63,59.88,0.32,0.53,705336.42,4268526.176,60.2,1.2433333333333334,0.04503114972528274,1,0,-1
60.1,60.44,59.71,60.2,-0.12,-0.2,386456.97,2322425.4,60.08,1.3266666666666667,-0.14142494412753706,1,0,0
60.0,62.26,59.86,60.08,1.31,2.18,836840.94,5137430.623,61.39,0.9899999999999999,0.2083860396909944,1,0,0
61.5,63.98,61.48,61.39,2.54,4.14,876860.93,5509478.165,63.93,0.06333333333333334,0.10479758684222082,0,0,1
64.0,65.3,63.13,63.93,0.13,0.2,1183831.53,7608700.683999999,64.06,0.02666666666666667,0.5749951345465497,0,1,1
63.5,64.5,63.31,64.06,0.3,0.47,513661.89,3284189.902,64.36,0.03,0.1653668510202165,0,0,0
64.47,66.28,63.72,64.36,-0.24,-0.37,1001119.09,6497719.272999999,64.12,-0.03666666666666666,0.33014226137628466,0,1,0
64.2,64.39,63.0,64.12,0.02,0.03,824946.51,5249507.427,64.14,0.41,0.38096020421186855,0,1,-1
64.0,64.84,63.48,64.14,0.31,0.48,681439.78,4374187.708000001,64.45,0.05333333333333338,0.2968496162844662,0,1,1
64.69,64.7,62.92,64.45,-0.44,-0.68,908570.15,5784912.562000001,64.01,0.7733333333333334,0.3643904176889662,1,1,1
64.3,66.57,64.3,64.01,1.36,2.12,1173565.86,7697028.238,65.37,1.5066666666666666,0.6045786673182874,1,1,1
65.4,66.35,64.32,65.37,-0.76,-1.16,867820.83,5669830.793,64.61,1.8466666666666667,0.3895677167939651,1,1,1
64.5,66.39,64.4,64.61,1.72,2.66,708669.25,4620472.31,66.33,1.3633333333333333,0.10398910837579081,1,0,0
66.0,69.95,65.93,66.33,3.56,5.37,1254060.37,8577347.652,69.89,-0.22999999999999998,0.13953012297608744,0,0,1
70.1,70.57,69.48,69.89,0.26,0.37,752207.17,5267340.967,70.15,0.9533333333333335,-0.02725195077668268,1,0,0
70.69,71.29,69.77,70.15,0.27,0.38,801748.28,5652540.362000001,70.42,1.6166666666666665,-0.08430596517962494,1,0,1
69.98,70.43,68.59,70.42,-1.22,-1.73,1009459.92,6990987.895,69.2,2.1700000000000004,0.011276436345650051,1,0,-1
68.8,73.11,68.75,69.2,3.81,5.51,1163764.46,8269151.22,73.01,1.8099999999999998,0.11202053537290485,1,0,-1
72.7,75.32,71.8,73.01,2.26,3.1,1580393.74,11680087.761,75.27,0.7266666666666666,0.0691883226878096,1,0,-1
74.78,76.49,74.07,75.27,0.44,0.58,1141281.13,8583176.574,75.71,-0.4633333333333333,0.30348477592038986,0,1,1
75.13,79.68,75.13,75.71,2.73,3.61,1445569.37,11268384.879,78.44,-1.2733333333333334,-0.0495624828545367,-1,0,-1
